Datetime,valueBVP
53:20.8,49.38831
53:20.9,49.81433
53:20.9,49.4845
53:20.9,48.94073
53:20.9,48.56781
53:20.9,48.55823
53:20.9,48.88696
53:21.0,49.30829
53:21.0,49.39471
53:21.0,48.66595
53:21.0,46.79572
53:21.0,43.76489
53:21.0,39.89728
53:21.1,35.65442
53:21.1,31.40649
53:21.1,27.16022
53:21.1,22.48804
53:21.1,16.63513
53:21.1,8.904907
53:21.1,-0.8731079
53:21.2,-11.95804
53:21.2,-22.64212
53:21.2,-30.64578
53:21.2,-33.86404
53:21.2,-31.14307
53:21.2,-22.69693
53:21.3,-9.940704
53:21.3,5.146057
53:21.3,20.7496
53:21.3,35.68362
53:21.3,49.34415
53:21.3,61.36981
53:21.3,71.28305
53:21.4,78.41531
53:21.4,82.2211
53:21.4,82.60782
53:21.4,80.14157
53:21.4,75.88022
53:21.4,70.84769
53:21.5,65.55096
53:21.5,59.88876
53:21.5,53.39188
53:21.5,45.7164
53:21.5,36.94229
53:21.5,27.64609
53:21.6,18.6102
53:21.6,10.52928
53:21.6,3.644455
53:21.6,-2.406616
53:21.6,-8.41655
53:21.6,-15.20273
53:21.6,-23.25175
53:21.7,-32.65483
53:21.7,-43.16124
53:21.7,-54.31102
53:21.7,-65.33539
53:21.7,-75.10321
53:21.7,-82.15686
53:21.8,-84.85873
53:21.8,-81.73877
53:21.8,-72.05873
53:21.8,-56.29576
53:21.8,-36.1752
53:21.8,-14.16602
53:21.8,7.654457
53:21.9,27.84789
53:21.9,45.53823
53:21.9,60.0314
53:21.9,70.85343
53:21.9,77.80939
53:21.9,81.13806
53:22.0,81.61371
53:22.0,80.5298
53:22.0,79.97661
53:22.0,81.62906
53:22.0,85.61773
53:22.0,90.38782
53:22.1,93.97733
53:22.1,95.1239
53:22.1,93.72067
53:22.1,90.59684
53:22.1,86.93003
53:22.1,84.7785
53:22.1,85.49585
53:22.2,88.59765
53:22.2,91.91128
53:22.2,93.2963
53:22.2,91.83556
53:22.2,87.82013
53:22.2,81.97906
53:22.3,74.9983
53:22.3,69.11743
53:22.3,67.07228
53:22.3,70.8847
53:22.3,80.99564
53:22.3,96.74705
53:22.3,116.1115
53:22.4,135.2682
53:22.4,149.0183
53:22.4,144.403
53:22.4,114.6387
53:22.4,66.52708
53:22.4,17.07989
53:22.5,-19.91968
53:22.5,-41.06069
53:22.5,-51.81656
53:22.5,-60.12274
53:22.5,-70.52856
53:22.5,-83.79688
53:22.6,-96.7018
53:22.6,-105.6534
53:22.6,-108.0708
53:22.6,-105.3266
53:22.6,-100.6743
53:22.6,-97.09192
53:22.6,-95.96498
53:22.7,-96.88667
53:22.7,-98.44292
53:22.7,-98.35501
53:22.7,-95.99257
53:22.7,-93.93713
53:22.7,-97.33322
53:22.8,-110.2212
53:22.8,-132.6056
53:22.8,-159.6511
53:22.8,-183.5522
53:22.8,-196.8396
53:22.8,-194.4573
53:22.8,-175.6513
53:22.9,-143.8838
53:22.9,-104.9547
53:22.9,-64.09505
53:22.9,-24.61924
53:22.9,11.78851
53:22.9,44.05023
53:23.0,71.23483
53:23.0,93.35518
53:23.0,111.5627
53:23.0,127.7798
53:23.0,143.4461
53:23.0,158.6951
53:23.1,171.9592
53:23.1,180.5882
53:23.1,182.1714
53:23.1,176.0199
53:23.1,163.798
53:23.1,148.8785
53:23.1,134.9921
53:23.2,124.7945
53:23.2,119.3501
53:23.2,118.2497
53:23.2,120.0952
53:23.2,122.9768
53:23.2,124.9764
53:23.3,124.4738
53:23.3,120.3346
53:23.3,112.0395
53:23.3,99.57463
53:23.3,83.38217
53:23.3,64.33483
53:23.3,43.74928
53:23.4,23.36509
53:23.4,5.241913
53:23.4,-8.613434
53:23.4,-16.71489
53:23.4,-18.52363
53:23.4,-14.73047
53:23.5,-7.033447
53:23.5,2.390686
53:23.5,11.46257
53:23.5,18.7888
53:23.5,23.80135
53:23.5,26.51254
53:23.6,27.07278
53:23.6,25.44778
53:23.6,21.33535
53:23.6,14.54341
53:23.6,5.272396
53:23.6,-5.780617
53:23.6,-17.63027
53:23.7,-29.472
53:23.7,-40.98634
53:23.7,-52.35151
53:23.7,-63.91475
53:23.7,-75.83466
53:23.7,-87.90392
53:23.8,-99.62144
53:23.8,-110.4994
53:23.8,-120.2065
53:23.8,-128.6023
53:23.8,-135.6951
53:23.8,-141.5155
53:23.8,-146.2303
53:23.9,-150.2839
53:23.9,-154.3564
53:23.9,-159.0891
53:23.9,-164.5822
53:23.9,-170.0108
53:23.9,-173.6962
53:24.0,-173.631
53:24.0,-168.2346
53:24.0,-157.0316
53:24.0,-140.7672
53:24.0,-121.0601
53:24.0,-99.83932
53:24.1,-78.78371
53:24.1,-59.09554
53:24.1,-41.56278
53:24.1,-26.73392
53:24.1,-15.05129
53:24.1,-6.827332
53:24.1,-2.067245
53:24.2,-0.3662567
53:24.2,-0.8819885
53:24.2,-2.635048
53:24.2,-4.765762
53:24.2,-6.866409
53:24.2,-9.037781
53:24.3,-11.65659
53:24.3,-15.01079
53:24.3,-18.94713
53:24.3,-22.75415
53:24.3,-25.37645
53:24.3,-25.87839
53:24.3,-23.82848
53:24.4,-19.56262
53:24.4,-14.04474
53:24.4,-8.54422
53:24.4,-4.245956
53:24.4,-1.836426
53:24.4,-1.294769
53:24.5,-1.737976
53:24.5,-1.527878
53:24.5,1.425079
53:24.5,9.071625
53:24.5,22.65274
53:24.5,42.20227
53:24.6,66.53308
53:24.6,93.60068
53:24.6,121.1485
53:24.6,147.3389
53:24.6,170.9744
53:24.6,191.53
53:24.6,208.8351
53:24.7,222.8655
53:24.7,233.6638
53:24.7,241.4148
53:24.7,246.5191
53:24.7,249.4803
53:24.7,250.6146
53:24.8,249.9015
53:24.8,247.0655
53:24.8,241.8239
53:24.8,234.3373
53:24.8,225.3681
53:24.8,216.1842
53:24.8,207.9589
53:24.9,201.3041
53:24.9,195.8502
53:24.9,190.1985
53:24.9,182.2611
53:24.9,169.6113
53:24.9,149.8148
53:25.0,120.6967
53:25.0,80.90552
53:25.0,30.76411
53:25.0,-26.80536
53:25.0,-85.89316
53:25.0,-138.4461
53:25.1,-176.2431
53:25.1,-193.4967
53:25.1,-188.8208
53:25.1,-165.733
53:25.1,-131.443
53:25.1,-94.30618
53:25.1,-61.26195
53:25.2,-36.21979
53:25.2,-19.98218
53:25.2,-11.4455
53:25.2,-9.105545
53:25.2,-12.06651
53:25.2,-20.16837
53:25.3,-33.29233
53:25.3,-50.57487
53:25.3,-70.1106
53:25.3,-89.30664
53:25.3,-105.77
53:25.3,-118.0527
53:25.3,-126.1936
53:25.4,-131.2965
53:25.4,-134.7693
53:25.4,-137.5412
53:25.4,-139.7399
53:25.4,-140.9786
53:25.4,-141.0368
53:25.5,-140.4137
53:25.5,-140.3662
53:25.5,-142.5301
53:25.5,-148.0378
53:25.5,-156.7822
53:25.5,-167.0862
53:25.6,-175.9316
53:25.6,-179.8768
53:25.6,-176.1852
53:25.6,-163.8029
53:25.6,-143.7006
53:25.6,-118.4347
53:25.6,-91.11726
53:25.7,-64.41807
53:25.7,-39.81306
53:25.7,-17.64348
53:25.7,2.434237
53:25.7,20.83529
53:25.7,37.64711
53:25.8,52.69432
53:25.8,65.73151
53:25.8,76.74001
53:25.8,85.88892
53:25.8,93.31207
53:25.8,98.89734
53:25.8,102.3047
53:25.9,103.1771
53:25.9,101.444
53:25.9,97.42118
53:25.9,91.75281
53:25.9,85.22258
53:25.9,78.5
53:26.0,71.97318
53:26.0,65.73811
53:26.0,59.62624
53:26.0,53.33633
53:26.0,46.5173
53:26.0,38.81015
53:26.1,29.84325
53:26.1,19.3492
53:26.1,7.364899
53:26.1,-5.432816
53:26.1,-17.56081
53:26.1,-26.72424
53:26.1,-30.34789
53:26.2,-26.33119
53:26.2,-13.86132
53:26.2,6.110458
53:26.2,31.10255
53:26.2,57.83434
53:26.2,83.20271
53:26.3,104.9876
53:26.3,122.0425
53:26.3,134.0564
53:26.3,141.1707
53:26.3,143.7455
53:26.3,142.3867
53:26.3,138.0013
53:26.4,124.9632
53:26.4,118.7298
53:26.4,113.681
53:26.4,109.8251
53:26.4,106.6337
53:26.5,103.2504
53:26.5,98.8848
53:26.5,93.00301
53:26.5,85.45136
53:26.5,76.39348
53:26.5,66.16499
53:26.6,55.14029
53:26.6,43.62466
53:26.6,31.91729
53:26.6,20.23728
53:26.6,8.717865
53:26.6,-2.54055
53:26.6,-13.35226
53:26.7,-23.23969
53:26.7,-31.24723
53:26.7,-36.04102
53:26.7,-36.24974
53:26.7,-31.06805
53:26.7,-20.83917
53:26.8,-7.193726
53:26.8,7.354141
53:26.8,20.29675
53:26.8,30.02225
53:26.8,36.23546
53:26.8,39.74675
53:26.8,41.74606
53:26.9,42.97835
53:26.9,43.40936
53:26.9,42.45486
53:26.9,39.55215
53:26.9,34.6557
53:26.9,28.38004
53:27.0,21.60513
53:27.0,14.9938
53:27.0,8.628448
53:27.0,2.084534
53:27.0,-5.128845
53:27.0,-13.08929
53:27.1,-21.29645
53:27.1,-28.92117
53:27.1,-35.26254
53:27.1,-40.12943
53:27.1,-43.98956
53:27.1,-47.68613
53:27.1,-52.07663
53:27.2,-57.71054
53:27.2,-64.68631
53:27.2,-72.72253
53:27.2,-81.24295
53:27.2,-89.53473
53:27.2,-96.8385
53:27.3,-102.4812
53:27.3,-105.9644
53:27.3,-107.0693
53:27.3,-105.8741
53:27.3,-102.7127
53:27.3,-98.0824
53:27.3,-92.4931
53:27.4,-86.44202
53:27.4,-80.35931
53:27.4,-74.60272
53:27.4,-69.42004
53:27.4,-64.93652
53:27.4,-61.16284
53:27.5,-58.08484
53:27.5,-55.78265
